specimenID,GUID_triplet,GUID_url,latitude,longitude,putative_sex,Family,Latin_name,County,year_collected,Na,Mg,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Cd,Pb,skull_length,skull_height,skull_width,total_length,tail_length,hindfoot,county_decade_pop,closest_pop,closest_pop_size_atTime,pop_type,distance_to_pop,county_area_m
11630,MMNH:Mamm:11630,https://arctos.database.museum/guid/MMNH:Mamm:11630,NA,NA,M,Vespertilionidae,Eptesicus fuscus,Hennepin,1972,1430.66372,673.6306837,325.8628567,1301.763698,3049.924329,2999.507908,3.18137438,3.834861635,26.31846123,844.1148665,0.480732457,3.944757272,21.11697922,151.0368527,8.462063108,1.570878346,1.51262729,183.9304347,10.19,5.52,9.07,145,40,12,960080,,NA,,NA,1570587028
11631,MMNH:Mamm:11631,https://arctos.database.museum/guid/MMNH:Mamm:11631,NA,NA,M,Vespertilionidae,Eptesicus fuscus,Hennepin,1972,2034.765912,452.9783789,133.5709008,2187.354609,5291.09602,1321.039324,1.150269908,17.19357297,16.14290082,415.8702865,0.297905489,10.68876522,14.1940149,155.7404797,35.34002564,1.327219715,0.967939663,81.6986344,9.92,5.5,8.85,118,47,12,960080,,NA,,NA,1570587028
12285,MMNH:Mamm:12285,https://arctos.database.museum/guid/MMNH:Mamm:12285,45.9,-93.33,F,Sciuridae,Sciurus carolinensis,Hennepin,1973,1897.62383,196.3934925,18.00493032,1770.390197,3429.587424,494.111303,0.043273978,0.397115634,5.20316592,39.1949616,0.047995565,3.427325195,7.477037858,35.09697369,15.48106042,0.615084575,1.665542354,4.930146966,34.8,19.04,26.71,495,232,73,960080,Mora,2582,City,3812.785352,1570587028
13154,MMNH:Mamm:13154,https://arctos.database.museum/guid/MMNH:Mamm:13154,45.0251,-93.8118,F,Sciuridae,Sciurus carolinensis,Hennepin,1974,1187.101284,254.0428286,11.82256673,1702.229926,1835.984868,669.7928698,0.031205817,0.529106391,10.71955639,32.03440348,0.065535344,3.882214335,7.462288969,46.7030057,8.409036845,0.315649633,0.394258442,4.248165472,37.06,19.03,26.17,500,222,73,960080,Delano,NA,City,2599.324763,1570587028
1060,MMNH:Mamm:1060,https://arctos.database.museum/guid/MMNH:Mamm:1060,44.9444,-93.0931,M,Soricidae,Blarina brevicauda,Ramsey,1925,1802.924506,310.0684479,51.25610952,1726.052116,2872.715727,710.5468838,0.630939887,1.118405731,8.718278024,168.6739627,0.168851075,5.49353396,57.9693673,92.03570373,171355.893,2.461920626,1.032676347,19.05556913,12.82,7.03,13.51,133.4,25.4,15.9,286721,St. Paul,271606,City,1125.905387,440051120.3
18383,MMNH:Mamm:18383,https://arctos.database.museum/guid/MMNH:Mamm:18383,NA,NA,,Vespertilionidae,Eptesicus fuscus,Ramsey,1937,6257.062728,484.5369164,160.1680088,2411.284788,4040.30869,1691.847213,0.965746874,3.567161828,14.62554543,494.911097,0.342070236,5.046990533,39.16667384,208.4576672,25361.69489,3.74410134,20.53281544,65.54008851,10.34,5.79,8.78,111,45,13,309935,,NA,,NA,440051120.3
18278,MMNH:Mamm:18278,https://arctos.database.museum/guid/MMNH:Mamm:18278,44.8477,-93.4597,M,Soricidae,Blarina brevicauda,Hennepin,1997,3984.176932,690.4823637,71.7157712,6298.08682,6818.58149,1037.013537,0.074232847,0.600958214,12.93615719,186.6745205,0.50872753,23.53179532,34.6686972,124.5509717,13.1411873,1.622301923,0.582617779,3.07495442,12.17,7.07,13.78,132,22,17,NA,Eden Prairie,NA,City,1159.540162,1570587028
18299,MMNH:Mamm:18299,https://arctos.database.museum/guid/MMNH:Mamm:18299,45.002,-93.5706,F,Muridae,Peromyscus leucopus,Hennepin,1997,2591.510275,631.0431866,68.49216145,4774.380888,8221.608784,1562.320284,0.096358402,0.787649891,35.682435,116.9419301,0.186295968,46.13176622,50.62372691,114.207962,14.37525968,1.023323104,0.590944728,2.538382168,15.62,7.89,11.34,172,72,20,NA,Long Lake,NA,City,1704.042661,1570587028
18948,MMNH:Mamm:18948,https://arctos.database.museum/guid/MMNH:Mamm:18948,44.9844,-93.2184,F,Sciuridae,Sciurus carolinensis,Hennepin,2003,2346.741526,348.2900837,119.8071839,3466.913099,4260.813593,508.4197671,0.024505191,0.425961544,15.71568281,41.34378399,0.021657702,3.011260457,6.014709832,38.55269692,7.714854569,0.812438721,0.087734992,0.583066006,36.86,20.21,26.94,477,280,62,NA,Lauderdale,NA,City,1875.141423,1570587028
2916,MMNH:Mamm:2916,https://arctos.database.museum/guid/MMNH:Mamm:2916,44.9444,-93.0931,M,Sciuridae,Sciurus carolinensis,Ramsey,1950,15372.99857,152.0948158,33.66619282,1670.127603,3411.351887,413.0207325,0.233065477,0.675230735,3.322780055,79.78993426,0.166346342,8.960505653,11.75813763,42.09253211,391.735439,0.464079211,0.293927415,20.08994898,34.55,19.24,27.58,571,207,73,355382,St. Paul,311349,City,1125.905387,440051120.3
